number,num_pol,cost,age,older,car,output
671797130,1,0,62,8,0,1
672336430,4,0,80,33,0,0
672690011,7,0,62,26,1,0
672990991,2,0,74,11,1,0
673293591,2,0,66,19,1,1
674265930,1,0,78,5,0,0
674347121,2,0,66,27,1,1
674560041,2,0,76,40,1,0
674631250,3,0,64,36,0,0
674631251,3,0,64,30,1,0
675005531,2,0,81,15,1,0
676652731,4,0,61,8,1,0
677305071,1,0,70,16,1,0
678728380,3,0,82,22,0,0
678728381,2,0,82,72,1,1
678751121,2,0,75,25,1,0
678751460,4,0,69,56,0,0
679976841,2,0,70,3,1,0
680060551,6,0,59,22,1,0
681198090,2,0,72,20,0,0
681936551,16,0,56,86,1,0
682494161,2,0,67,10,1,1
682971911,2,0,58,2,1,0
683244330,1,0,59,21,0,0
683418900,2,0,71,10,0,0
683418901,2,0,71,3,1,1
683728121,2,0,63,34,1,0
684586110,1,0,65,4,0,0
685097281,3,0,69,19,1,1
685456150,1,0,67,19,0,0
685464641,7,0,76,16,1,0
686704390,3,0,66,24,0,0
686706601,4,0,59,32,1,0
686739791,5,0,61,67,1,1
686839371,2,0,65,31,1,1
687310821,2,0,64,11,1,1
687554950,1,0,61,13,0,0
688541241,2,0,77,11,1,0
689436460,1,0,77,22,0,0
689436461,7,0,77,61,1,0
690872601,2,0,65,22,1,0
693379701,3,0,67,8,1,0
694970300,1,0,71,4,0,1
697528710,1,0,69,8,0,1
69789440,1,0,81,17,0,0
697907800,1,0,68,31,0,0
697907801,6,0,68,84,1,0
700255491,4,0,80,32,1,0
702670831,2,0,71,21,1,0
703470590,2,0,78,4,0,0
708121361,2,0,78,5,1,0
715229321,3,0,81,9,1,0
717420350,1,0,75,56,0,0
717420351,4,0,75,45,1,0
726750510,1,0,71,0,0,1
735604761,3,0,74,19,1,1
736861560,1,0,76,44,0,0
736861561,2,0,76,21,1,1
744145581,2,0,79,13,1,0
774269301,2,0,83,30,1,1
781927541,3,0,73,15,1,0
787810281,2,0,87,11,1,1
796492401,4,0,73,5,1,0
798226720,8,0,71,31,0,0
798226721,1,0,71,74,1,0
798226980,1,0,66,12,0,1
94914161,2,0,79,15,1,0
2015014340,1,1,32,6,0,0
566165920,1,1,61,7,0,0
95906211,2,17,75,12,1,0
526384590,1,23,67,5,0,0
224272721,2,25,55,78,1,0
94777121,2,26,85,34,1,0
2041361471,2,31,29,7,1,0
284050661,1,42,51,22,1,1
544889940,1,44,65,5,0,0
507308111,4,45.75,71,48,1,1
504543471,2,51,71,36,1,1
224822100,1,60,56,2,0,0
11226210,1,61,75,12,0,1
224836630,1,61,55,10,0,1
226945330,2,61,55,13,0,0
227343130,1,61,55,0,0,0
227344381,1,61,55,57,1,0
270810410,1,61,71,2,0,0
270852320,1,61,63,10,0,1
292946000,1,61,48,14,0,1
294140001,2,61,49,8,1,0
294782371,1,61,49,21,1,1
295486250,1,61,49,16,0,0
437512470,1,61,72,2,0,1
437512471,2,61,72,7,1,1
444611501,4,61,75,157,1,0
507332030,1,61,71,6,0,0
508182770,1,61,70,13,0,1
508182771,2,61,70,26,1,0
522536551,2,61,68,11,1,0
565057951,2,61,61,0,1,0
559784641,2,76.5,62,38,1,0
553863871,2,78.5,63,20,1,0
2038865691,2,81.5,30,4,1,1
219184120,1,84,35,3,0,0
3064240450,1,88,60,0,0,1
3069002181,2,88,73,3,1,0
35474861,2,88,85,32,1,1
586910490,1,88,57,16,0,0
2046794921,2,93.5,28,22,1,0
2057343041,2,94.5,26,6,1,1
3017252711,2,100,33,14,1,0
572621640,2,100,60,24,0,0
3128425941,2,102.5,46,5,1,1
320268251,2,103.5,47,57,1,0
536322791,5,107,66,7,1,0
3006038911,3,123.3333333,35,13,1,0
344210241,2,129.5,44,12,1,0
267881090,1,137,68,29,0,0
3006989901,5,139.8,35,37,1,0
522530511,2,140,68,27,1,1
53953710,1,152,75,6,0,0
53953711,2,152,75,6,1,0
219184121,5,163.6,35,4,1,0
566165921,2,172.5,61,46,1,0
2044510411,2,173,29,5,1,0
500078061,2,173,72,79,1,0
2038878150,1,186,30,1,0,0
2038885991,2,186,30,28,1,0
2038982001,2,186,30,4,1,0
2038999191,2,186,30,9,1,0
536442171,4,186,66,19,1,0
536462950,1,186,66,12,0,0
518079230,2,189,69,18,0,1
3011356461,4,195.5,34,22,1,0
